Kapitel,Paragraf,Ord
1,14,är
1,14,så»
1,14,sade
1,14,ålin
1,14,»att
1,14,jag
1,14,hör
1,14,dem
1,14,tala
1,14,om
1,14,att
1,14,du
1,14,ingenting
1,14,gör
1,14,de
1,14,säga
1,14,att
1,14,du
1,14,knappast
1,14,har
1,14,öppnat
1,14,en
1,14,bok
1,14,på
1,14,de
1,14,fyra
1,14,terminerna
1,14,som
1,14,du
1,14,har
1,14,legat
1,14,här
1,14,vid
1,14,akademien
1,14,du
1,14,lär
1,14,inte
1,14,göra
1,14,annat
1,14,än
1,14,spela
1,14,fiol
1,14,hela
1,14,dagen
1,14,och
1,14,det
1,14,kan
1,14,jag
1,14,inte
1,14,hålla
1,14,för
1,14,otroligt
1,14,ty
1,14,du
1,14,ville
1,14,aldrig
1,14,göra
1,14,annat
1,14,förr
1,14,i
1,14,världen
1,14,heller
1,14,då
1,14,du
1,14,gick
1,14,i
1,14,falu
1,14,skola
1,14,fast
1,14,du
1,14,då
1,14,var
1,14,tvungen
1,14,att
1,14,arbeta»
1,15,hede
1,15,satte
1,15,sig
1,15,litet
1,15,stelt
1,15,till
1,15,rätta
1,15,i
1,15,stolen
1,15,ålin
1,15,blev
1,15,allt
1,15,olyckligare
1,15,men
1,15,han
1,15,fortfor
1,15,med
1,15,seg
1,15,beslutsamhet:
1,16,»du
1,16,tänker
1,16,väl
1,16,att
1,16,den
1,16,som
1,16,äger
1,16,en
1,16,sådan
1,16,gård
1,16,som
1,16,munkhyttan
1,16,bör
1,16,kunna
1,16,få
1,16,göra
1,16,vad
1,16,han
1,16,vill
1,16,arbeta
1,16,om
1,16,han
1,16,vill
1,16,låta
1,16,bli
1,16,om
1,16,han
1,16,vill
1,16,tar
1,16,han
1,16,en
1,16,examen
1,16,är
1,16,det
1,16,bra
1,16,tar
1,16,han
1,16,inte
1,16,en
1,16,examen
1,16,är
1,16,det
1,16,nästan
1,16,lika
1,16,bra
1,16,för
1,16,du
1,16,vill
1,16,i
1,16,alla
1,16,fall
1,16,inte
1,16,bli
1,16,något
1,16,annat
1,16,än
1,16,brukspatron
1,16,du
1,16,vill
1,16,bo
1,16,på
1,16,munkhyttan
1,16,hela
1,16,ditt
1,16,liv
1,16,det
1,16,förstår
1,16,jag
1,16,väl
1,16,att
1,16,det
1,16,är
1,16,så
1,16,du
1,16,tänker»
1,17,hede
1,17,teg
1,17,och
1,17,ålin
1,17,tyckte
1,17,sig
1,17,se
1,17,honom
1,17,omgiven
1,17,av
1,17,en
1,17,likadan
1,17,mur
1,17,av
1,17,förnämhet
1,17,som
1,17,alltid
1,17,i
1,17,ålins
1,17,ögon
1,17,omgav
1,17,hans
1,17,far
1,17,bergsrådet
1,17,och
1,17,hans
1,17,mor
1,17,bergsrådinnan
1,18,»men
1,18,det
1,18,är
1,18,nog
1,18,så
1,18,att
1,18,munkhyttan
1,18,inte
1,18,är
1,18,samma
1,18,ställe
1,18,nu
1,18,som
1,18,förr
1,18,då
1,18,järngruvan
1,18,var
1,18,givande»
1,18,återtog
1,18,han
1,18,försiktigt
1,18,»det
1,18,var
1,18,nog
1,18,det
1,18,bergsrådet
1,18,visste
1,18,och
1,18,det
1,18,var
1,18,därför
1,18,han
1,18,bestämde
1,18,före
1,18,sin
1,18,död
1,18,att
1,18,du
1,18,skulle
1,18,studera
1,18,bergsrådinnan
1,18,vet
1,18,det
1,18,också
1,18,stackare
1,18,och
1,18,hela
1,18,socknen
1,18,vet
1,18,det
1,18,den
1,18,enda
1,18,som
1,18,inte
1,18,vet
1,18,något
1,18,är
1,18,du
1,18,hede»
1,19,»menar
1,19,du»
1,19,sade
1,19,hede
1,19,litet
1,19,retligt
1,19,»att
1,19,jag
1,19,inte
1,19,vet
1,19,att
1,19,järngruvan
1,19,inte
1,19,mer
1,19,kan
1,19,bearbetas?»
1,20,»ånej»
1,20,sade
1,20,ålin
1,20,»det
1,20,vet
1,20,du
1,20,väl
1,20,men
1,20,ser
1,20,du
1,20,vad
1,20,du
1,20,inte
1,20,vet
1,20,är
1,20,att
1,20,det
1,20,är
1,20,alldeles
1,20,slut
1,20,med
1,20,munkhyttan
1,20,tänk
1,20,efter
1,20,själv
1,20,så
1,20,inser
1,20,du
1,20,nog
1,20,att
1,20,man
1,20,inte
1,20,kan
1,20,leva
1,20,bara
1,20,på
1,20,jordbruk
1,20,hemma
1,20,i
1,20,västerdalarna
1,20,ja
1,20,jag
1,20,vet
1,20,inte
1,20,varför
1,20,bergsrådinnan
1,20,har
1,20,hållit
1,20,det
1,20,hemligt
1,20,för
1,20,dig
1,20,men
1,20,hon
1,20,sitter
1,20,ju
1,20,i
1,20,orubbat
1,20,bo
1,20,så
1,20,hon
1,20,behöver
1,20,inte
1,20,fråga
1,20,dig
1,20,till
1,20,råds
1,20,om
1,20,något
1,20,hur
1,20,som
1,20,helst
1,20,så
1,20,veta
1,20,de
1,20,därhemma
1,20,att
1,20,hon
1,20,har
1,20,smått
1,20,om
1,20,det
1,20,hon
1,20,far
1,20,omkring
1,20,och
1,20,lånar
1,20,pengar
1,20,säger
1,20,man
1,20,hon
1,20,har
1,20,väl
1,20,inte
1,20,velat
1,20,störa
1,20,dig
1,20,med
1,20,sina
1,20,bekymmer
1,20,utan
1,20,hon
1,20,har
1,20,tänkt
1,20,att
1,20,hon
1,20,skulle
1,20,kunna
1,20,hålla
1,20,allt
1,20,gående
1,20,tills
1,20,du
1,20,har
1,20,tagit
1,20,din
1,20,examen
1,20,hon
1,20,vill
1,20,inte
1,20,sälja
1,20,egendomen
1,20,förrän
1,20,du
1,20,är
1,20,färdig
1,20,och
1,20,har
1,20,ett
1,20,nytt
1,20,hem»
1,21,hede
1,21,reste
1,21,sig
1,21,upp
1,21,och
1,21,gick
1,21,ett
1,21,slag
1,21,över
1,21,rummet
1,21,så
1,21,stannade
1,21,han
1,21,framför
1,21,ålin
1,21,»men
1,21,karl
1,21,du
1,21,sitter
1,21,ju
1,21,här
1,21,och
1,21,vill
1,21,inbilla
1,21,mig
1,21,dumheter
1,21,vi
1,21,äro
1,21,ju
1,21,rika»
1,22,»jag
1,22,vet
1,22,nog
1,22,att
1,22,ni
1,22,räknas
1,22,för
1,22,storfolk
1,22,därhemma
1,22,än
1,22,så
1,22,länge»
1,22,sade
1,22,ålin
1,22,»men
1,22,du
1,22,begriper
1,22,väl
1,22,att
1,22,ingenting
1,22,kan
1,22,räcka
1,22,då
1,22,man
1,22,bara
1,22,ger
1,22,ut
1,22,och
1,22,aldrig
1,22,något
1,22,kommer
1,22,in
1,22,det
1,22,var
1,22,en
1,22,annan
1,22,sak
1,22,då
1,22,ni
1,22,hade
1,22,gruvan»
1,23,hede
1,23,satte
1,23,sig
1,23,igen
1,23,»min
1,23,mor
1,23,borde
1,23,ju
1,23,ha
1,23,låtit
1,23,mig
1,23,veta
1,23,detta»
1,23,sade
1,23,han
1,23,»jag
1,23,är
1,23,dig
1,23,tacksam
1,23,ålin
1,23,men
1,23,du
1,23,har
1,23,låtit
