"Totalkonsumtion"

"Vara";"Tabelluppgifter";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019 prel.";"2020 prel."
"Fjäderfäkött, urtagen vara";"Kilo eller liter per person och år";1.55;1.84;1.84;1.92;2.53;2.68;2.75;3.20;3.57;3.49;3.34;3.36;3.95;4.19;4.53;4.82;4.71;4.65;4.60;5.11;4.91;5.63;5.51;5.37;5.33;5.33;5.24;4.54;5.35;5.82;5.89;6.52;7.12;7.48;8.18;8.69;9.56;9.31;9.82;11.46;12.79;13.91;14.81;14.30;14.87;15.72;16.28;16.69;18.09;17.51;18.37;18.74;18.99;20.27;21.39;22.40;23.65;23.39;22.28;22.40;21.50
"Kött av vilt";"Kilo eller liter per person och år";0.75;0.76;0.74;0.74;0.74;0.74;0.74;0.72;0.75;0.79;0.85;0.84;0.92;1.00;1.07;1.07;1.11;1.37;1.64;1.95;2.39;2.69;3.18;3.04;2.71;2.43;2.36;2.46;2.54;2.63;2.78;2.56;2.47;2.32;2.17;2.02;1.97;1.94;2.08;2.13;2.12;2.17;2.06;2.10;1.96;1.98;1.76;1.83;1.91;1.91;1.95;1.98;2.02;2.01;1.83;1.81;1.80;1.98;1.94;2.08;2.00
"Inälvor";"Kilo eller liter per person och år";2.74;2.78;2.92;3.04;3.06;3.06;3.25;3.17;3.06;3.08;2.97;3.06;2.77;2.97;2.71;2.83;2.88;2.79;2.68;2.65;2.58;2.44;2.56;2.52;2.41;2.49;2.26;2.20;2.25;2.15;2.13;2.09;2.09;1.98;2.00;2.11;1.54;1.68;0.93;1.48;1.75;1.84;1.85;1.85;1.89;1.81;1.72;1.66;1.55;1.60;1.59;1.47;1.36;1.34;1.39;1.32;1.32;1.23;1.30;1.23;1.23
"SUMMA KÖTT";"Kilo eller liter per person och år";50.76;51.85;52.26;52.21;52.80;52.73;52.74;54.28;55.55;54.98;55.85;54.05;53.18;53.74;58.91;62.11;64.73;64.26;63.07;65.41;63.96;62.88;61.02;59.97;56.93;57.96;57.00;58.32;59.93;60.24;60.16;61.00;62.76;63.06;65.61;68.26;68.68;69.76;71.60;73.90;75.93;75.61;80.46;80.71;81.81;82.53;83.05;83.50;84.69;84.11;86.36;87.63;86.13;88.20;87.87;87.73;88.32;86.39;84.53;82.51;78.60
"Fisk, färsk och fryst";"Kilo eller liter per person och år";16.50;..;..;..;..;..;..;..;..;..;16.90;18.79;18.04;17.43;17.18;17.08;18.02;18.40;17.53;18.78;18.46;18.50;18.03;18.17;17.56;17.71;19.13;18.04;17.46;18.24;17.33;15.30;16.30;14.67;16.19;14.84;15.89;15.13;14.05;13.94;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Konserver och beredd fisk";"Kilo eller liter per person och år";7.78;..;..;..;..;..;..;..;..;..;9.80;10.49;9.44;9.60;9.17;8.84;9.58;9.69;10.10;9.45;10.01;9.01;9.07;8.96;9.27;10.02;10.49;13.66;12.78;13.56;12.83;13.10;12.76;12.11;13.24;11.82;13.00;12.31;14.12;14.59;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"SUMMA FISK";"Kilo eller liter per person och år";24.28;..;..;..;..;..;..;..;..;..;26.69;29.28;27.48;27.02;26.35;25.92;27.61;28.09;27.63;28.24;28.47;27.51;27.10;27.12;26.83;27.74;29.62;31.70;30.24;31.80;30.16;28.40;29.06;26.78;29.44;26.66;28.89;27.44;28.18;28.53;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Konsumtionsmjölk, liter";"Kilo eller liter per person och år";169.81;..;..;..;154.57;152.64;152.10;149.29;151.05;149.82;151.57;152.23;151.91;152.78;154.53;158.84;162.97;162.80;162.40;161.27;162.11;160.29;156.91;155.97;154.40;151.16;144.63;141.58;139.52;135.25;129.97;126.61;124.31;122.48;119.94;118.79;118.56;116.38;114.83;112.69;113.89;113.20;112.86;111.22;110.40;108.07;103.30;100.13;97.53;95.91;95.72;91.11;89.36;88.34;82.01;81.62;77.63;74.24;72.59;69.97;65.81
"Syrade produkter, liter";"Kilo eller liter per person och år";..;..;..;..;..;..;..;..;..;..;13.58;14.08;14.77;16.12;16.62;19.14;19.36;20.09;21.33;22.27;22.85;23.04;24.29;24.91;25.62;25.69;26.08;25.85;26.92;27.74;27.21;27.32;27.65;27.35;28.39;28.21;28.03;29.81;29.76;30.63;29.78;30.98;31.61;31.58;31.66;32.55;33.19;33.42;34.75;33.75;33.90;33.93;33.97;33.84;34.09;33.01;31.59;30.47;29.31;29.08;29.03
"Tjock grädde";"Kilo eller liter per person och år";3.50;3.76;3.87;3.91;4.08;4.18;4.15;4.22;4.26;4.17;4.18;4.05;4.06;4.15;4.44;4.68;4.74;4.75;4.87;5.12;5.27;5.29;5.36;5.38;5.33;5.90;6.25;6.42;6.45;6.49;6.47;6.56;6.81;7.00;7.12;7.35;7.56;7.60;7.52;7.56;7.12;7.08;6.72;6.47;6.24;6.15;6.33;6.52;6.69;7.39;8.03;8.16;8.34;7.47;7.67;8.17;8.46;7.76;7.45;6.97;3.81
"Tunn grädde";"Kilo eller liter per person och år";2.67;2.63;2.51;2.47;2.44;2.37;2.32;2.34;2.41;2.45;2.46;2.47;2.39;2.42;2.43;2.51;2.46;2.42;2.46;2.58;2.61;2.56;2.52;2.43;2.41;2.41;2.42;2.36;2.36;2.34;2.56;2.54;2.53;2.53;2.69;2.76;2.86;2.85;2.94;3.08;3.72;4.14;3.65;3.65;3.78;3.73;3.63;3.77;3.78;3.78;3.67;3.47;3.50;3.35;3.18;3.29;2.90;2.71;2.57;2.46;3.34
"Ost (inkl. margarinost)";"Kilo eller liter per person och år";7.35;7.73;7.78;7.89;7.98;8.03;7.99;8.22;8.31;8.65;9.26;9.34;9.12;9.51;10.66;11.57;12.34;12.63;12.69;13.38;14.07;14.29;14.41;15.06;15.01;15.13;15.37;15.67;16.18;15.67;16.46;15.75;16.12;16.66;17.09;16.32;16.24;16.19;16.48;16.93;16.79;17.19;17.59;17.79;17.90;17.96;18.18;18.03;18.19;19.35;18.84;18.67;19.00;18.87;20.26;20.23;19.70;18.94;19.03;19.09;19.70
"Smör";"Kilo eller liter per person och år";9.65;9.31;9.72;10.05;9.44;8.64;8.37;8.08;7.40;6.64;5.48;5.29;4.94;4.90;4.01;3.98;3.86;3.61;3.42;3.50;3.61;3.68;3.58;3.71;3.68;3.41;3.14;3.07;2.88;2.48;2.37;2.23;2.20;2.28;2.40;2.08;1.80;1.80;1.66;1.46;1.41;1.44;1.53;1.47;1.52;1.62;1.77;1.93;1.96;2.37;2.39;2.62;3.05;2.65;2.61;2.76;2.72;2.65;2.74;2.72;..
"Hushållsmargarin och Bregott";"Kilo eller liter per person och år";12.25;12.62;12.34;12.18;12.97;13.15;13.17;13.23;13.59;13.78;15.03;14.84;15.06;13.83;14.84;15.31;15.39;15.63;15.78;15.64;15.76;15.84;15.76;15.90;15.58;15.10;14.40;13.71;13.72;12.26;11.78;11.01;10.51;10.12;9.77;9.87;9.93;9.16;8.98;8.26;8.67;7.59;6.52;6.52;5.66;5.79;5.73;5.92;5.60;5.72;5.77;6.01;6.48;6.42;5.73;6.16;6.22;6.59;6.42;6.31;..
"Lättmargarin";"Kilo eller liter per person och år";-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.45;1.16;1.62;1.79;1.69;2.40;1.89;1.94;1.84;1.92;2.09;2.62;2.85;3.22;3.39;3.74;4.35;4.73;4.95;5.13;4.73;5.44;5.18;4.77;4.73;4.61;4.98;4.38;4.18;4.16;4.44;4.80;3.82;3.97;3.93;3.79;3.57;3.94;5.33;4.85;4.73;4.92;4.89;4.55;4.24;4.22;..
"Bagerimargarin";"Kilo eller liter per person och år";3.58;3.51;3.37;3.25;3.06;2.94;2.64;2.77;2.83;2.94;2.90;2.64;2.38;2.34;2.48;2.53;2.36;2.39;2.34;0.81;2.12;1.98;1.85;1.98;2.02;2.02;2.09;2.11;2.17;2.11;2.09;1.90;1.86;1.92;1.94;2.37;2.32;2.48;2.28;2.27;2.26;2.08;2.39;2.28;1.81;1.69;1.80;1.29;1.43;1.53;1.28;1.01;0.84;0.57;0.56;0.46;0.45;0.47;0.47;0.49;..
"Bageri- och matolja";"Kilo eller liter per person och år";0.70;0.77;0.78;0.78;..;..;..;1.02;0.90;0.95;0.93;0.90;0.87;0.82;0.75;0.73;0.69;0.80;0.82;0.81;0.78;0.77;0.76;0.82;0.83;0.79;0.85;0.89;0.91;0.88;0.75;0.82;0.85;0.86;0.85;1.02;1.06;1.20;1.25;1.05;0.96;1.20;1.11;1.32;1.36;1.74;2.13;2.60;2.76;2.71;2.18;3.05;2.99;2.36;2.51;2.77;2.48;2.04;1.82;2.39;..
"Kokosfett, friteringsfett m.m.";"Kilo eller liter per person och år";0.25;0.29;0.32;0.34;0.38;0.45;0.46;0.43;0.44;0.46;0.42;0.49;0.49;0.53;0.49;0.48;0.47;0.41;0.43;0.40;0.39;0.41;0.36;0.32;0.31;0.31;0.32;0.33;0.34;0.35;0.32;0.29;0.24;0.26;0.27;0.36;0.41;0.53;0.75;0.51;0.53;0.63;0.45;0.46;0.54;0.82;1.07;1.73;1.80;1.75;1.49;1.62;1.01;0.92;0.58;0.60;0.45;0.32;0.36;0.29;..
