Kapitel,Paragraf,Ord
1,3,i
1,3,trädgården
1,3,trädde
1,3,en
1,3,ung
1,3,herre
1,3,enkelt
1,3,men
1,3,fint
1,3,klädd
1,3,hans
1,3,ansikte
1,3,företedde
1,3,intet
1,3,ovanligt
1,3,men
1,3,där
1,3,låg
1,3,en
1,3,sorg
1,3,och
1,3,en
1,3,ofrid
1,3,i
1,3,hans
1,3,blickar
1,3,som
1,3,dock
1,3,försvunno
1,3,då
1,3,han
1,3,utkommen
1,3,från
1,3,den
1,3,trånga
1,3,källarsalen
1,3,möttes
1,3,av
1,3,den
1,3,öppna
1,3,horisonten
1,3,han
1,3,vände
1,3,sig
1,3,mot
1,3,vindsidan
1,3,knäppte
1,3,upp
1,3,överrocken
1,3,och
1,3,tog
1,3,några
1,3,fulla
1,3,andetag
1,3,vilka
1,3,tycktes
1,3,lätta
1,3,hans
1,3,bröstkorg
1,3,och
1,3,sinne
1,3,därpå
1,3,började
1,3,han
1,3,vandra
1,3,fram
1,3,och
1,3,åter
1,3,utmed
1,3,barriären
1,3,som
1,3,skiljer
1,3,trädgården
1,3,från
1,3,branterna
1,3,åt
1,3,sjön
1,4,långt
1,4,nere
1,4,under
1,4,honom
1,4,bullrade
1,4,den
1,4,nyvaknade
1,4,staden;
1,4,ångvinscharne
1,4,snurrade
1,4,nere
1,4,i
1,4,stadsgårdshamnen
1,4,järnstängerna
1,4,skramlade
1,4,i
1,4,järnvågen
1,4,slussvaktarnes
1,4,pipor
1,4,visslade
1,4,ångbåtarne
1,4,vid
1,4,skeppsbron
1,4,ångade
1,4,kungsbacksomnibussarne
1,4,hoppade
1,4,skallrande
1,4,fram
1,4,på
1,4,den
1,4,kullriga
1,4,stenläggningen;
1,4,stoj
1,4,och
1,4,hojt
1,4,i
1,4,fiskargången
1,4,segel
1,4,och
1,4,flaggor
1,4,som
1,4,fladdrade
1,4,ute
1,4,på
1,4,strömmen
1,4,måsarnes
1,4,skri
1,4,hornsignaler
1,4,från
1,4,skeppsholmen
1,4,gevärsrop
1,4,från
1,4,södermalmstorg
1,4,arbetshjonens
1,4,klapprande
1,4,med
1,4,träskorna
1,4,på
1,4,glasbruksgatan
1,4,allt
1,4,gjorde
1,4,ett
1,4,intryck
1,4,av
1,4,liv
1,4,och
1,4,rörlighet
1,4,som
1,4,tycktes
1,4,väcka
1,4,den
1,4,unge
1,4,herrens
1,4,energi
1,4,ty
1,4,nu
1,4,hade
1,4,hans
1,4,ansikte
1,4,antagit
1,4,ett
1,4,uttryck
1,4,av
1,4,trots
1,4,och
1,4,levnadslust
1,4,och
1,4,beslutsamhet
1,4,och
1,4,då
1,4,han
1,4,lutade
1,4,sig
1,4,över
1,4,barriären
1,4,och
1,4,såg
1,4,ner
1,4,på
1,4,staden
1,4,under
1,4,sina
1,4,fötter
1,4,var
1,4,det
1,4,som
1,4,om
1,4,han
1,4,betraktade
1,4,en
1,4,fiende;
1,4,hans
1,4,näsborrar
1,4,vidgades
1,4,hans
1,4,ögon
1,4,flammade
1,4,och
1,4,han
1,4,lyfte
1,4,sin
1,4,knutna
1,4,hand
1,4,som
1,4,om
1,4,han
1,4,velat
1,4,utmana
1,4,den
1,4,stackars
1,4,staden
1,4,eller
1,4,hota
1,4,den
1,5,nu
1,5,ringde
1,5,det
1,5,sju
1,5,i
1,5,katrina
1,5,och
1,5,maria
1,5,sekunderade
1,5,med
1,5,sin
1,5,mjältsjuka
1,5,diskant
1,5,och
1,5,storkyrkan
1,5,och
1,5,tyskan
1,5,fyllde
1,5,i
1,5,med
1,5,sina
1,5,basar
1,5,och
1,5,hela
1,5,rymden
1,5,dallrade
1,5,snart
1,5,av
1,5,ljudet
1,5,från
1,5,alla
1,5,stadens
1,5,sjuklockor;
1,5,men
1,5,när
1,5,de
1,5,tystnat
1,5,den
1,5,ena
1,5,efter
1,5,den
1,5,andra
1,5,hördes
1,5,ännu
1,5,långt
1,5,i
1,5,fjärran
1,5,den
1,5,sista
1,5,sjunga
1,5,sin
1,5,fridfulla
1,5,aftonsång;
1,5,den
1,5,hade
1,5,en
1,5,högre
1,5,ton
1,5,en
1,5,renare
1,5,klang
1,5,och
1,5,ett
1,5,hastigare
1,5,tempo
1,5,än
1,5,de
1,5,andra
1,5,ty
1,5,den
1,5,har
1,5,så
1,5,han
1,5,lyssnade
1,5,och
1,5,sökte
1,5,utröna
1,5,varifrån
1,5,ljudet
1,5,kom
1,5,ty
1,5,det
1,5,syntes
1,5,väcka
1,5,minnen
1,5,hos
1,5,honom
1,5,då
1,5,blev
1,5,hans
1,5,min
1,5,så
1,5,vek
1,5,och
1,5,hans
1,5,ansikte
1,5,uttryckte
1,5,den
1,5,smärta
1,5,som
1,5,ett
1,5,barn
1,5,erfar
1,5,då
1,5,det
1,5,känner
1,5,sig
1,5,vara
1,5,lämnat
1,5,ensamt
1,5,och
1,5,han
1,5,var
1,5,ensam
1,5,ty
1,5,hans
1,5,far
1,5,och
1,5,mor
1,5,lågo
1,5,borta
1,5,på
1,5,klara
1,5,kyrkogård
1,5,därifrån
1,5,klockan
1,5,ännu
1,5,hördes
1,5,och
1,5,han
1,5,var
1,5,ett
1,5,barn
1,5,ty
1,5,han
1,5,trodde
1,5,ännu
1,5,på
1,5,allt
1,5,både
1,5,sant
1,5,och
1,5,sagor
1,6,klockan
1,6,i
1,6,klara
1,6,tystnade
1,6,och
1,6,han
1,6,rycktes
1,6,ur
1,6,sina
1,6,tankar
1,6,genom
1,6,ljudet
1,6,av
1,6,steg
1,6,på
1,6,sandgången
1,6,emot
1,6,honom
1,6,kom
1,6,från
1,6,verandan
1,6,en
1,6,liten
1,6,man
1,6,med
1,6,stora
1,6,polisonger
1,6,glasögon
1,6,vilka
1,6,tycktes
1,6,snarare
1,6,vara
1,6,avsedda
1,6,till
1,6,skydd
1,6,för
1,6,blickarne
1,6,än
1,6,för
1,6,ögonen
1,6,en
1,6,elak
1,6,mun
1,6,som
1,6,alltid
1,6,antog
1,6,ett
1,6,vänligt
1,6,till
1,6,och
1,6,med
1,6,godmodigt
1,6,uttryck
1,6,en
1,6,halvkrossad
1,6,hatt
1,6,snygg
1,6,överrock
1,6,med
1,6,defekta
1,6,knappar
1,6,byxorna
1,6,hissade
1,6,på
1,6,halv
1,6,stång
1,6,gången
1,6,både
1,6,antydande
1,6,säkerhet
1,6,och
1,6,skygghet
1,6,det
1,6,var
1,6,av
1,6,hans
1,6,svävande
1,6,yttre
1,6,omöjligt
1,6,att
1,6,bestämma
1,6,samhällsställning
1,6,eller
1,6,ålder
1,6,han
1,6,kunde
1,6,lika
1,6,väl
1,6,tagas
1,6,för
1,6,en
1,6,hantverkare
1,6,som
1,6,en
1,6,tjänsteman
1,6,och
1,6,han
1,6,syntes
1,6,vara
1,6,mellan
1,6,29
1,6,och
1,6,45
1,6,år
1,6,nu
1,6,tycktes
1,6,han
1,6,emellertid
1,6,smickrad
1,6,av
1,6,den
1,6,persons
1,6,sällskap
1,6,som
1,6,han
1,6,gick
1,6,till
1,6,mötes
1,6,ty
1,6,han
1,6,lyfte
1,6,ovanligt
1,6,högt
1,6,den
1,6,bågnande
1,6,hatten
1,6,och
1,6,tog
1,6,till
1,6,sitt
1,6,godmodigaste
1,6,leende
1,7,häradshövdingen
1,7,har
1,7,väl
1,7,inte
1,7,väntat?
1,8,inte
1,8,ett
1,8,ögonblick;
1,8,klockan
1,8,slutade
1,8,just
1,8,att
1,8,ringa
1,8,sju
1,8,jag
1,8,tackar
1,8,er
1,8,för
1,8,att
1,8,ni
1,8,var
1,8,god
1,8,och
1,8,kom
1,8,ty
1,8,jag
1,8,måste
1,8,erkänna
1,8,att
1,8,detta
1,8,möte
1,8,är
1,8,av
1,8,största
1,8,vikt
1,8,för
1,8,mig;
1,8,det
1,8,gäller
1,8,snart
1,8,sagt
1,8,min
1,8,framtid
1,8,herr
1,8,struve
1,9,hå
1,9,kors
1,10,herr
1,10,struve
1,10,klippte
1,10,ett
1,10,slag
1,10,med
1,10,ögonlocken
1,10,ty
1,10,han
1,10,hade
1,10,endast
1,10,väntat
1,10,sig
1,10,ett
1,10,toddyparti
1,10,och
1,10,var
1,10,mycket
1,10,litet
1,10,angelägen
1,10,om
1,10,allvarliga
1,10,samtal
1,10,varför
1,10,han
1,10,också
1,10,hade
1,10,sina
1,10,skäl
1,11,för
1,11,att
1,11,vi
1,11,skola
1,11,kunna
1,11,tala
1,11,bättre
1,11,fortfor
1,11,häradshövdingen
1,11,så
1,11,sitta
1,11,vi
1,11,ute
1,11,om
1,11,ni
1,11,inte
1,11,har
1,11,något
1,11,emot
1,11,det
1,11,och
1,11,dricka
1,11,en
1,11,toddy
1,12,herr
1,12,struve
1,12,drog
1,12,ut
1,12,den
1,12,högra
1,12,polisongen
1,12,tryckte
1,12,varsamt
1,12,ner
1,12,hatten
1,12,och
1,12,tackade
1,12,för
1,12,bjudningen
1,12,men
1,12,var
1,12,orolig
1,13,för
1,13,det
1,13,första
1,13,måste
1,13,jag
1,13,bedja
1,13,er
1,13,icke
1,13,vidare
1,13,titulera
1,13,mig
1,13,häradshövding
1,13,upptog
1,13,den
1,13,unge
1,13,herren
1,13,samtalet
1,13,ty
1,13,det
1,13,har
1,13,jag
1,13,aldrig
1,13,varit
1,13,utan
1,13,endast
1,13,extra
1,13,ordinarie
1,13,notarie
1,13,och
1,13,detta
1,13,senare
1,13,har
1,13,jag
1,13,med
1,13,i
1,13,dag
1,13,upphört
1,13,att
1,13,vara
1,13,och
1,13,är
1,13,endast
1,13,herr
1,13,falk
1,14,vad
1,14,för
1,14,slag?
1,15,herr
1,15,struve
1,15,såg
1,15,ut
1,15,som
1,15,om
1,15,han
1,15,förlorat
1,15,en
1,15,fin
1,15,bekantskap
1,15,men
1,15,förblev
1,15,godmodig
1,16,ni
1,16,som
1,16,är
1,16,en
1,16,man
1,16,med
1,16,liberala
1,16,idéer
1,17,herr
1,17,struve
1,17,försökte
1,17,begära
1,17,ordet
1,17,för
1,17,att
1,17,utveckla
1,17,sig
1,17,men
1,17,falk
1,17,fortfor
1,18,i
1,18,er
1,18,egenskap
1,18,av
1,18,medarbetare
1,18,i
1,18,den
1,18,frisinnade
1,18,rödluvan
1,18,är
1,18,det
1,18,som
1,18,jag
1,18,sökt
1,18,er
1,19,för
1,19,all
1,19,del
1,19,jag
1,19,är
1,19,en
1,19,så
1,19,obetydlig
1,19,medarbetare
1,20,jag
1,20,har
1,20,läst
1,20,era
1,20,ljungande
1,20,artiklar
1,20,i
1,20,arbetarfrågan
1,20,och
1,20,i
1,20,alla
1,20,andra
1,20,frågor
1,20,som
1,20,ligga
1,20,oss
1,20,om
1,20,hjärtat
1,20,vi
1,20,räkna
1,20,nu
1,20,vårt
1,20,anno
1,20,iii
1,20,med
1,20,romerska
1,20,siffror
1,20,ty
1,20,det
1,20,är
1,20,nu
1,20,tredje
1,20,året
1,20,som
1,20,den
1,20,nya
1,20,representationen
1,20,sammanträder
1,20,och
1,20,vi
1,20,skola
1,20,snart
1,20,se
1,20,våra
1,20,förhoppningar
1,20,förverkligade
1,20,jag
1,20,har
1,20,läst
1,20,era
1,20,förträffliga
1,20,biografier
1,20,i
1,20,bondevännen
1,20,över
1,20,de
1,20,ledande
1,20,politiska
1,20,männen
1,20,männen
1,20,från
1,20,folket
1,20,som
1,20,slutligen
1,20,fått
1,20,framföra
1,20,vad
1,20,de
1,20,så
1,20,länge
1,20,burit
1,20,tungt
1,20,på
1,20,sina
1,20,sinnen;
1,20,ni
1,20,är
1,20,en
1,20,framåtskridandets
1,20,man
1,20,och
1,20,jag
1,20,högaktar
1,20,er
1,21,struve
1,21,vars
1,21,blick
1,21,slocknat
