Name,Sign,Measure area,Date,Year,Value
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1911-12-31T00:00:00Z,1911,6.73
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1912-12-31T00:00:00Z,1912,5.59
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1913-12-31T00:00:00Z,1913,6.54
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1914-12-31T00:00:00Z,1914,7.07
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1915-12-31T00:00:00Z,1915,4.3
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1916-12-31T00:00:00Z,1916,5.49
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1917-12-31T00:00:00Z,1917,5.06
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1918-12-31T00:00:00Z,1918,5.91
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1919-12-31T00:00:00Z,1919,5.18
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1920-12-31T00:00:00Z,1920,6.63
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1921-12-31T00:00:00Z,1921,6.56
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1922-12-31T00:00:00Z,1922,4.88
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1923-12-31T00:00:00Z,1923,4.84
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1924-12-31T00:00:00Z,1924,5.56
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1925-12-31T00:00:00Z,1925,5.98
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1926-12-31T00:00:00Z,1926,5.51
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1927-12-31T00:00:00Z,1927,5.44
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1928-12-31T00:00:00Z,1928,5.1
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1929-12-31T00:00:00Z,1929,5.42
Korrigerad årsmedeltemperatur,TEMA.1.2.2,Stockholm årsmedel,1930-12-31T00:00:00Z,1930,7.24
