Hemmalag,Bortalag,Hemmamål,Bortamål,Publik,Domare,Arena,Datum,Säsong
Örgryte,Örebro,0,2,2100,Erik Fredriksson,NA,1990-04-04,1990
AIK,Brage,1,0,3461,Håkan Lundgren,NA,1990-04-04,1990
IFK Norrköping,IFK Göteborg,6,0,2491,Örjan Andersson,NA,1990-04-07,1990
Malmö FF,Djurgården,0,0,5106,Christer Drottz,NA,1990-04-08,1990
Hammarby,Halmstad,1,2,5467,Bo Persson,NA,1990-04-08,1990
Gais,Öster,3,0,4839,Rune Larsson,NA,1990-04-08,1990
Brage,Gais,1,1,3948,Erik Fredriksson,NA,1990-04-13,1990
Öster,Hammarby,5,2,3394,Christer Drottz,NA,1990-04-16,1990
Örebro,Malmö FF,0,0,8374,Bo Helén,NA,1990-04-16,1990
Halmstad,Örgryte,0,1,4260,Örjan Andersson,NA,1990-04-16,1990
IFK Göteborg,AIK,5,0,3528,Germund Nilsson,NA,1990-04-16,1990
Djurgården,IFK Norrköping,0,2,3824,Karl-Erik Davidsen,NA,1990-04-16,1990
Gais,IFK Norrköping,2,0,4506,Bo Karlsson,NA,1990-04-19,1990
AIK,Halmstad,2,1,2251,Anders Frisk,NA,1990-04-19,1990
Öster,Örgryte,1,0,1991,Christer Fällström,NA,1990-04-21,1990
Hammarby,Malmö FF,0,1,4673,Erik Fredriksson,NA,1990-04-22,1990
IFK Göteborg,Djurgården,2,1,3930,Leif Sundell,NA,1990-04-22,1990
Brage,Örebro,0,1,3134,Rune Larsson,NA,1990-04-22,1990
Örgryte,Hammarby,3,0,1678,Germund Nilsson,NA,1990-04-29,1990
IFK Norrköping,AIK,4,1,6401,Bo Persson,NA,1990-04-29,1990
Malmö FF,Gais,0,0,4481,Lars Carlsson,NA,1990-04-29,1990
Halmstad,IFK Göteborg,1,0,4589,Håkan Lundgren,NA,1990-04-29,1990
Djurgården,Brage,1,1,1754,Örjan Andersson,NA,1990-04-29,1990
Örebro,Öster,0,0,7284,Anders Frisk,NA,1990-05-01,1990
AIK,Örgryte,1,0,2932,Bo Helén,NA,1990-05-03,1990
IFK Norrköping,Malmö FF,1,0,4459,Christer Drottz,NA,1990-05-05,1990
Öster,IFK Göteborg,2,0,5823,Per-Olof Ståhl,NA,1990-05-06,1990
Hammarby,Djurgården,3,0,7152,Leif Sundell,NA,1990-05-06,1990
Gais,Örebro,0,1,5141,Bo Persson,NA,1990-05-06,1990
Brage,Halmstad,1,1,3354,Bo Karlsson,NA,1990-05-06,1990
Örebro,Hammarby,4,1,6409,Kire Klenkovski,NA,1990-05-13,1990
Malmö FF,AIK,2,3,4173,Bo Karlsson,NA,1990-05-13,1990
Halmstad,IFK Norrköping,0,2,4759,Erik Fredriksson,NA,1990-05-13,1990
IFK Göteborg,Brage,1,0,1504,Christer Fällström,NA,1990-05-13,1990
Djurgården,Öster,4,0,2502,Lennart Sundqvist,NA,1990-05-13,1990
Örgryte,Gais,2,0,5952,Rune Larsson,NA,1990-05-14,1990
AIK,Djurgården,1,0,18948,Lars Carlsson,NA,1990-05-16,1990
Öster,Halmstad,2,0,2361,Germund Nilsson,NA,1990-05-17,1990
IFK Norrköping,Örebro,2,2,8843,Leif Sundell,NA,1990-05-17,1990
Malmö FF,Örgryte,0,2,3142,Håkan Lundgren,NA,1990-05-17,1990
Hammarby,Brage,3,1,3432,Anders Frisk,NA,1990-05-17,1990
Gais,IFK Göteborg,0,1,14144,Erik Fredriksson,NA,1990-05-17,1990
Örebro,AIK,3,0,8694,Lennart Elofson,NA,1990-05-20,1990
Halmstad,Malmö FF,1,2,2739,Rune Larsson,NA,1990-05-20,1990
IFK Göteborg,Hammarby,2,2,3692,Bo Karlsson,NA,1990-05-20,1990
Djurgården,Gais,2,1,3014,Håkan Lundgren,NA,1990-05-20,1990
Brage,Öster,1,1,3727,Bo Helén,NA,1990-05-20,1990
Örgryte,IFK Norrköping,1,1,3024,Leif Sundell,NA,1990-05-21,1990
Örebro,IFK Göteborg,2,6,6132,Rune Larsson,NA,1990-07-22,1990
IFK Norrköping,Hammarby,3,1,7378,Lennart Elofson,NA,1990-07-22,1990
Malmö FF,Öster,1,1,5338,Bo Persson,NA,1990-07-22,1990
Halmstad,Djurgården,0,0,4727,Christer Fällström,NA,1990-07-22,1990
AIK,Gais,2,2,2761,Örjan Andersson,NA,1990-07-22,1990
Örgryte,Brage,1,3,2029,Lennart Sundqvist,NA,1990-07-23,1990
Hammarby,Gais,0,2,4023,Germund Nilsson,NA,1990-07-25,1990
Öster,AIK,1,0,2429,Håkan Lundgren,NA,1990-07-26,1990
Djurgården,Örgryte,7,1,1504,Per-Olof Ståhl,NA,1990-07-26,1990
Halmstad,Örebro,3,0,4249,Lars Carlsson,NA,1990-07-30,1990
IFK Göteborg,Malmö FF,0,0,6330,Leif Sundell,NA,1990-07-30,1990
Brage,IFK Norrköping,1,1,5416,Christer Drottz,NA,1990-07-30,1990
Gais,Halmstad,0,0,3501,Erik Fredriksson,NA,1990-08-01,1990
AIK,Hammarby,2,0,8189,Bo Helén,NA,1990-08-01,1990
Örgryte,IFK Göteborg,0,3,6578,Håkan Lundgren,NA,1990-08-02,1990
Örebro,Djurgården,0,1,4461,Lennart Sundqvist,NA,1990-08-02,1990
IFK Norrköping,Öster,2,2,5581,Germund Nilsson,NA,1990-08-02,1990
Malmö FF,Brage,0,1,4226,Bo Karlsson,NA,1990-08-02,1990
Öster,Malmö FF,1,0,5352,Örjan Andersson,NA,1990-08-05,1990
IFK Göteborg,Örebro,1,0,3330,Karl-Erik Davidsen,NA,1990-08-05,1990
Djurgården,Halmstad,2,0,2122,Anders Frisk,NA,1990-08-05,1990
Brage,Örgryte,1,1,4948,Rune Larsson,NA,1990-08-05,1990
Hammarby,IFK Norrköping,2,0,3703,Leif Sundell,NA,1990-08-06,1990
Gais,AIK,1,0,3853,Per-Olof Ståhl,NA,1990-08-06,1990
Örgryte,AIK,0,1,1510,Kire Klenkovski,NA,1990-08-12,1990
Örebro,Gais,1,0,4298,Christer Fällström,NA,1990-08-12,1990
Malmö FF,IFK Norrköping,2,0,5892,Erik Fredriksson,NA,1990-08-12,1990
Halmstad,Brage,2,1,3571,Lennart Sundqvist,NA,1990-08-12,1990
IFK Göteborg,Öster,2,0,6546,Per-Olof Ståhl,NA,1990-08-13,1990
Djurgården,Hammarby,9,1,8768,Håkan Lundgren,NA,1990-08-13,1990
AIK,Malmö FF,1,1,4759,Leif-Göte Enternäs,NA,1990-08-15,1990
Öster,Djurgården,3,1,3879,Lennart Elofson,NA,1990-08-16,1990
IFK Norrköping,Halmstad,3,1,2717,Rune Larsson,NA,1990-08-16,1990
Hammarby,Örebro,0,2,2503,Per-Olof Ståhl,NA,1990-08-16,1990
Gais,Örgryte,2,0,5137,Bo Karlsson,NA,1990-08-16,1990
Brage,IFK Göteborg,2,1,4183,Örjan Andersson,NA,1990-08-16,1990
Öster,Brage,1,2,3136,Anders Frisk,NA,1990-08-19,1990
IFK Norrköping,Örgryte,1,2,4013,Christer Fällström,NA,1990-08-19,1990
Malmö FF,Halmstad,5,0,5126,Bo Helén,NA,1990-08-19,1990
Hammarby,IFK Göteborg,2,4,2422,Lars Carlsson,NA,1990-08-19,1990
Gais,Djurgården,0,0,3746,Leif Sundell,NA,1990-08-19,1990
AIK,Örebro,1,0,3921,Bo Persson,NA,1990-08-19,1990
Örebro,IFK Norrköping,1,0,4281,Bo Karlsson,NA,1990-08-25,1990
Örgryte,Malmö FF,0,3,3416,Karl-Erik Davidsen,NA,1990-08-26,1990
Halmstad,Öster,2,0,4629,Kire Klenkovski,NA,1990-08-26,1990
Brage,Hammarby,1,1,6088,Bo Persson,NA,1990-08-26,1990
IFK Göteborg,Gais,0,0,16547,Christer Fällström,NA,1990-08-27,1990
Djurgården,AIK,2,1,13412,Bo Helén,NA,1990-08-27,1990
Örgryte,Öster,2,3,1407,Leif Sundell,NA,1990-09-02,1990
Örebro,Brage,1,1,3558,Håkan Lundgren,NA,1990-09-02,1990
IFK Norrköping,Gais,3,0,2605,Bo Helén,NA,1990-09-02,1990
Malmö FF,Hammarby,0,0,6426,Bo Persson,NA,1990-09-02,1990
Halmstad,AIK,2,2,4781,Bo Karlsson,NA,1990-09-02,1990
Djurgården,IFK Göteborg,2,0,3437,Germund Nilsson,NA,1990-09-02,1990
IFK Göteborg,Halmstad,3,1,2024,Bo Helén,NA,1990-09-08,1990
Öster,Örebro,0,0,3074,Erik Fredriksson,NA,1990-09-09,1990
Brage,Djurgården,0,0,3855,Bo Persson,NA,1990-09-09,1990
AIK,IFK Norrköping,1,3,3362,Anders Frisk,NA,1990-09-09,1990
Hammarby,Örgryte,4,2,1685,Lennart Elofson,NA,1990-09-10,1990
Gais,Malmö FF,0,0,4354,Örjan Andersson,NA,1990-09-10,1990
Hammarby,AIK,4,1,7286,Leif Sundell,NA,1990-09-13,1990
IFK Göteborg,Örgryte,3,0,7360,Bo Karlsson,NA,1990-09-13,1990
Brage,Malmö FF,0,1,3698,Christer Drottz,NA,1990-09-15,1990
Öster,IFK Norrköping,0,2,5946,Bo Helén,NA,1990-09-16,1990
Halmstad,Gais,3,0,5190,Germund Nilsson,NA,1990-09-16,1990
Djurgården,Örebro,0,2,3106,Per-Olof Ståhl,NA,1990-09-16,1990
AIK,Öster,1,2,2028,Bo Persson,NA,1990-09-19,1990
Örgryte,Djurgården,0,1,837,Håkan Lundgren,NA,1990-09-22,1990
Örebro,Halmstad,1,0,3768,Bo Helén,NA,1990-09-23,1990
IFK Norrköping,Brage,2,1,2825,Christer Fällström,NA,1990-09-23,1990
Malmö FF,IFK Göteborg,0,2,3890,Bo Karlsson,NA,1990-09-23,1990
Gais,Hammarby,1,0,3116,Erik Fredriksson,NA,1990-09-23,1990
IFK Norrköping,Djurgården,3,2,4018,Anders Frisk,NA,1990-09-29,1990
Malmö FF,Örebro,0,0,1841,Lars Carlsson,NA,1990-09-29,1990
Hammarby,Öster,2,2,3048,Christer Fällström,NA,1990-09-30,1990
Gais,Brage,2,0,2716,Håkan Lundgren,NA,1990-09-30,1990
Örgryte,Halmstad,3,3,1434,Rune Larsson,NA,1990-10-01,1990
AIK,IFK Göteborg,1,2,2539,Örjan Andersson,NA,1990-10-01,1990
Öster,Gais,1,0,3381,Per-Olof Ståhl,NA,1990-10-07,1990
Örebro,Örgryte,0,1,3199,Örjan Andersson,NA,1990-10-07,1990
Halmstad,Hammarby,4,3,4435,Bo Helén,NA,1990-10-07,1990
IFK Göteborg,IFK Norrköping,1,0,9125,Erik Fredriksson,NA,1990-10-07,1990
Djurgården,Malmö FF,2,2,2106,Leif Sundell,NA,1990-10-07,1990
Brage,AIK,4,2,3237,Bo Karlsson,NA,1990-10-07,1990
Malmö FF,IFK Göteborg,1,1,6881,Erik Fredriksson,NA,1991-04-07,1991
Öster,Örebro,1,1,2996,Rune Larsson,NA,1991-04-07,1991
Halmstad,AIK,0,1,4918,Bo Karlsson,NA,1991-04-07,1991
Gais,Sundsvall,1,1,2594,Leif Sundell,NA,1991-04-07,1991
Djurgården,IFK Norrköping,0,3,3618,Håkan Lundgren,NA,1991-04-07,1991
IFK Norrköping,Öster,0,1,3709,Anders Frisk,NA,1991-04-13,1991
Örebro,Gais,4,1,6172,Christer Drottz,NA,1991-04-14,1991
Sundsvall,Djurgården,2,1,3822,Örjan Andersson,NA,1991-04-14,1991
IFK Göteborg,Halmstad,2,0,3735,Bo Persson,NA,1991-04-14,1991
AIK,Malmö FF,0,1,7507,Bo Helén,NA,1991-04-14,1991
Öster,Djurgården,1,1,2269,Lennart Elofson,NA,1991-04-21,1991
Malmö FF,Sundsvall,6,0,3476,Christer Drottz,NA,1991-04-21,1991
Halmstad,Gais,1,1,3363,Håkan Lundgren,NA,1991-04-21,1991
IFK Göteborg,Örebro,1,0,3105,Christer Fällström,NA,1991-04-21,1991
AIK,IFK Norrköping,1,0,5040,Lennart Sundqvist,NA,1991-04-21,1991
Örebro,AIK,1,0,7004,Germund Nilsson,NA,1991-04-24,1991
Sundsvall,Halmstad,1,1,2108,Rune Larsson,NA,1991-04-24,1991
IFK Norrköping,Malmö FF,3,0,5179,Örjan Andersson,NA,1991-04-24,1991
Gais,Öster,2,0,2147,Kire Klenkovski,NA,1991-04-24,1991
Djurgården,IFK Göteborg,1,2,2584,Leif Sundell,NA,1991-04-24,1991
IFK Göteborg,IFK Norrköping,3,3,2703,Bo Karlsson,NA,1991-04-27,1991
Örebro,Sundsvall,3,1,5104,Sten Johanzon,NA,1991-04-28,1991
Malmö FF,Djurgården,1,1,2233,Christer Fällström,NA,1991-04-28,1991
Halmstad,Öster,1,1,2733,Leif Sundell,NA,1991-04-28,1991
AIK,Gais,2,1,4110,Bertil Andersson,NA,1991-04-28,1991
Öster,IFK Göteborg,2,2,3678,Christer Fällström,NA,1991-05-05,1991
Sundsvall,AIK,0,3,2325,Lennart Elofson,NA,1991-05-05,1991
IFK Norrköping,Örebro,0,2,6764,Erik Fredriksson,NA,1991-05-05,1991
Gais,Malmö FF,0,1,2437,Lennart Sundqvist,NA,1991-05-05,1991
Djurgården,Halmstad,1,1,1807,Bo Karlsson,NA,1991-05-05,1991
Örebro,Djurgården,1,1,7007,Håkan Lundgren,NA,1991-05-12,1991
IFK Norrköping,Gais,2,0,3502,Bo Helén,NA,1991-05-12,1991
Malmö FF,Halmstad,2,0,3657,Bo Persson,NA,1991-05-12,1991
IFK Göteborg,Sundsvall,3,0,2789,Örjan Andersson,NA,1991-05-12,1991
AIK,Öster,2,1,4857,Christer Drottz,NA,1991-05-12,1991
Öster,Malmö FF,1,1,3197,Germund Nilsson,NA,1991-05-16,1991
Halmstad,Örebro,0,1,2609,Kire Klenkovski,NA,1991-05-16,1991
Gais,IFK Göteborg,1,0,9083,Erik Fredriksson,NA,1991-05-16,1991
Djurgården,AIK,2,1,10384,Bo Helén,NA,1991-05-16,1991
Öster,Sundsvall,3,0,2358,Erik Fredriksson,NA,1991-05-20,1991
IFK Norrköping,Halmstad,1,1,3084,Christer Fällström,NA,1991-05-20,1991
Malmö FF,Örebro,0,0,5056,Bo Persson,NA,1991-05-20,1991
IFK Göteborg,AIK,1,0,3835,Lennart Sundqvist,NA,1991-05-20,1991
Djurgården,Gais,4,2,2166,Sten Johanzon,NA,1991-05-20,1991
Örebro,IFK Norrköping,3,1,6264,Bertil Andersson,NA,1991-05-23,1991
Malmö FF,Gais,1,0,2586,Håkan Lundgren,NA,1991-05-23,1991
Halmstad,Djurgården,3,0,2742,Örjan Andersson,NA,1991-05-23,1991
IFK Göteborg,Öster,2,0,2889,Lennart Elofson,NA,1991-05-23,1991
AIK,Sundsvall,3,3,3364,Christer Fällström,NA,1991-05-23,1991
Öster,Halmstad,2,2,3004,Kire Klenkovski,NA,1991-05-26,1991
Sundsvall,Örebro,1,1,1012,Christer Drottz,NA,1991-05-26,1991
IFK Norrköping,IFK Göteborg,0,3,8859,Bo Persson,NA,1991-05-26,1991
Gais,AIK,2,1,2227,Leif Sundell,NA,1991-05-26,1991
Djurgården,Malmö FF,1,1,2316,Anders Frisk,NA,1991-05-26,1991
Örebro,Halmstad,3,0,5204,Bo Karlsson,NA,1991-05-30,1991
IFK Norrköping,Sundsvall,4,1,2794,Germund Nilsson,NA,1991-05-30,1991
Malmö FF,Öster,2,1,3895,Bo Helén,NA,1991-05-30,1991
IFK Göteborg,Gais,1,2,14110,Örjan Andersson,NA,1991-05-30,1991
AIK,Djurgården,0,0,24049,Rune Larsson,NA,1991-05-30,1991
Öster,AIK,0,0,3122,Sten Johanzon,NA,1991-06-02,1991
Sundsvall,IFK Göteborg,1,1,1746,Håkan Lundgren,NA,1991-06-02,1991
Halmstad,Malmö FF,1,0,4156,Christer Fällström,NA,1991-06-02,1991
Gais,IFK Norrköping,1,1,3094,Rune Larsson,NA,1991-06-02,1991
Djurgården,Örebro,4,1,2552,Kire Klenkovski,NA,1991-06-02,1991
Örebro,Malmö FF,0,0,9650,Leif Sundell,NA,1991-06-09,1991
Sundsvall,Öster,1,1,1457,Bertil Andersson,NA,1991-06-09,1991
Halmstad,IFK Norrköping,1,2,4929,Anders Frisk,NA,1991-06-09,1991
Gais,Djurgården,1,1,2797,Erik Fredriksson,NA,1991-06-09,1991
AIK,IFK Göteborg,0,0,5250,Lennart Sundqvist,NA,1991-06-09,1991
Sundsvall,IFK Norrköping,1,1,1818,Leif Sundell,NA,1991-06-23,1991
Öster,Gais,2,2,2875,Germund Nilsson,NA,1991-07-21,1991
Malmö FF,IFK Norrköping,1,1,3364,Christer Drottz,NA,1991-07-21,1991
Halmstad,Sundsvall,3,0,3720,Sten Johanzon,NA,1991-07-21,1991
IFK Göteborg,Djurgården,2,1,3801,Bo Helén,NA,1991-07-21,1991
AIK,Örebro,0,0,3775,Bo Persson,NA,1991-07-21,1991
Örebro,IFK Göteborg,0,4,7281,Rune Larsson,NA,1991-07-24,1991
Sundsvall,Malmö FF,0,1,1335,Kire Klenkovski,NA,1991-07-24,1991
IFK Norrköping,AIK,1,1,6863,Erik Fredriksson,NA,1991-07-24,1991
Gais,Halmstad,1,4,3374,Bertil Andersson,NA,1991-07-24,1991
Djurgården,Öster,4,2,2658,Lennart Sundqvist,NA,1991-07-24,1991
Öster,IFK Norrköping,3,1,1870,Rune Larsson,NA,1991-08-04,1991
Malmö FF,AIK,1,4,3376,Leif Sundell,NA,1991-08-04,1991
Halmstad,IFK Göteborg,2,1,7301,Erik Fredriksson,NA,1991-08-04,1991
Gais,Örebro,1,2,2203,Christer Fällström,NA,1991-08-05,1991
Djurgården,Sundsvall,3,1,7358,Germund Nilsson,NA,1991-08-05,1991
Örebro,Öster,2,1,4400,Anders Frisk,NA,1991-08-11,1991
Sundsvall,Gais,1,3,1790,Bo Persson,NA,1991-08-11,1991
IFK Norrköping,Djurgården,0,1,6874,Erik Fredriksson,NA,1991-08-11,1991
IFK Göteborg,Malmö FF,0,0,5056,Bo Karlsson,NA,1991-08-11,1991
AIK,Halmstad,2,1,4447,Håkan Lundgren,NA,1991-08-11,1991
Öster,IFK Norrköping,1,0,3059,Leif Sundell,NA,1992-04-05,1992
Trelleborg,Gais,1,0,3144,Christer Fällström,NA,1992-04-05,1992
IFK Göteborg,Malmö FF,3,0,9023,Rune Larsson,NA,1992-04-05,1992
AIK,Västra Frölunda,2,0,4382,Bo Karlsson,NA,1992-04-05,1992
Örebro,Djurgården,3,1,4064,Anders Frisk,NA,1992-04-07,1992
Gais,Örebro,0,0,4525,Bo Persson,NA,1992-04-11,1992
Västra Frölunda,IFK Göteborg,1,0,4665,Lennart Elofson,NA,1992-04-12,1992
IFK Norrköping,AIK,3,1,5376,Lennart Sundqvist,NA,1992-04-12,1992
Malmö FF,Öster,2,2,4886,Christer Drottz,NA,1992-04-12,1992
Djurgården,Trelleborg,1,2,2612,Sten Johanzon,NA,1992-04-12,1992
IFK Norrköping,Trelleborg,2,2,2881,Håkan Lundgren,NA,1992-04-15,1992
Malmö FF,Örebro,4,0,1258,Christer Fällström,NA,1992-04-15,1992
Öster,AIK,1,1,2879,Sten Johanzon,NA,1992-04-20,1992
Örebro,Västra Frölunda,0,0,4086,Örjan Andersson,NA,1992-04-20,1992
Trelleborg,Malmö FF,1,0,7815,Anders Frisk,NA,1992-04-20,1992
IFK Göteborg,IFK Norrköping,1,2,6195,Bo Karlsson,NA,1992-04-20,1992
Djurgården,Gais,4,0,2136,Lennart Sundqvist,NA,1992-04-20,1992
Öster,Västra Frölunda,2,1,2777,Bengt Börjesson,NA,1992-04-26,1992
Trelleborg,Örebro,1,3,2693,Lennart Elofson,NA,1992-04-26,1992
IFK Norrköping,Gais,1,2,5049,Rune Larsson,NA,1992-04-26,1992
IFK Göteborg,Djurgården,6,1,4502,Håkan Lundgren,NA,1992-04-26,1992
AIK,Malmö FF,3,1,5525,Karl-Erik Nilsson,NA,1992-04-26,1992
Örebro,IFK Göteborg,0,2,6256,Sten Johanzon,NA,1992-05-03,1992
Västra Frölunda,Trelleborg,1,1,1352,Leif Sundell,NA,1992-05-03,1992
Malmö FF,IFK Norrköping,4,0,3855,Kire Klenkovski,NA,1992-05-03,1992
Djurgården,Öster,2,1,3011,Örjan Andersson,NA,1992-05-03,1992
Gais,AIK,0,1,3065,Christer Drottz,NA,1992-05-04,1992
Öster,Örebro,1,1,1362,Anders Frisk,NA,1992-05-10,1992
IFK Norrköping,Västra Frölunda,4,0,1902,Christer Fällström,NA,1992-05-10,1992
Malmö FF,Gais,0,1,1643,Bo Karlsson,NA,1992-05-10,1992
IFK Göteborg,Trelleborg,1,0,2282,Bo Helén,NA,1992-05-10,1992
AIK,Djurgården,4,4,13188,Rune Larsson,NA,1992-05-11,1992
Västra Frölunda,Malmö FF,0,0,1128,Lennart Elofson,NA,1992-05-13,1992
Örebro,AIK,0,0,5433,Christer Drottz,NA,1992-05-14,1992
Trelleborg,Öster,3,2,2679,Lennart Sundqvist,NA,1992-05-14,1992
IFK Göteborg,Gais,2,1,12602,Örjan Andersson,NA,1992-05-14,1992
Djurgården,IFK Norrköping,2,2,3601,Bo Persson,NA,1992-05-14,1992
Öster,IFK Göteborg,2,2,4349,Christer Fällström,NA,1992-05-17,1992
IFK Norrköping,Örebro,3,0,6959,Karl-Erik Nilsson,NA,1992-05-17,1992
Malmö FF,Djurgården,1,1,4008,Leif Sundell,NA,1992-05-17,1992
Gais,Västra Frölunda,1,1,3047,Rune Larsson,NA,1992-05-17,1992
AIK,Trelleborg,0,1,4138,Anders Frisk,NA,1992-05-17,1992
Örebro,Öster,2,3,3120,Rune Larsson,NA,1992-05-21,1992
Västra Frölunda,IFK Norrköping,2,1,642,Leif Sundell,NA,1992-05-21,1992
Trelleborg,IFK Göteborg,2,2,4828,Christer Drottz,NA,1992-05-21,1992
Gais,Malmö FF,0,1,2512,Kire Klenkovski,NA,1992-05-21,1992
Djurgården,AIK,1,1,15012,Sten Johanzon,NA,1992-05-21,1992
Västra Frölunda,Djurgården,3,1,961,Kire Klenkovski,NA,1992-05-24,1992
Gais,Öster,2,2,1853,Bo Helén,NA,1992-05-24,1992
AIK,IFK Göteborg,3,0,5937,Bo Karlsson,NA,1992-05-24,1992
Öster,Malmö FF,0,2,2898,Sten Johanzon,NA,1992-05-31,1992
Örebro,Gais,2,0,3587,Bo Persson,NA,1992-05-31,1992
Trelleborg,Djurgården,0,0,3186,Bo Karlsson,NA,1992-05-31,1992
IFK Göteborg,Västra Frölunda,2,0,3815,Leif Sundell,NA,1992-05-31,1992
AIK,IFK Norrköping,0,1,3984,Lennart Elofson,NA,1992-05-31,1992
Gais,Trelleborg,0,1,2002,Karl-Erik Nilsson,NA,1992-06-28,1992
Västra Frölunda,AIK,1,2,1032,Christer Drottz,NA,1992-06-29,1992
IFK Norrköping,Öster,6,2,3750,Kire Klenkovski,NA,1992-06-29,1992
Malmö FF,IFK Göteborg,1,0,6223,Örjan Andersson,NA,1992-06-29,1992
Djurgården,Örebro,1,0,2876,Bengt Börjesson,NA,1992-06-29,1992
Öster,Trelleborg,2,0,1978,Bo Persson,NA,1992-07-02,1992
IFK Norrköping,Djurgården,3,1,4316,Bo Helén,NA,1992-07-02,1992
Malmö FF,Västra Frölunda,1,0,1761,Sten Johanzon,NA,1992-07-02,1992
Gais,IFK Göteborg,3,0,6538,Leif Sundell,NA,1992-07-02,1992
AIK,Örebro,0,1,2801,Christer Fällström,NA,1992-07-02,1992
Örebro,IFK Norrköping,0,0,5151,Bo Karlsson,NA,1992-07-05,1992
Västra Frölunda,Gais,3,2,2250,Anders Frisk,NA,1992-07-05,1992
Trelleborg,AIK,2,2,2759,Kire Klenkovski,NA,1992-07-05,1992
IFK Göteborg,Öster,0,1,3023,Rune Larsson,NA,1992-07-05,1992
Djurgården,Malmö FF,1,0,2913,Christer Drottz,NA,1992-07-05,1992
Västra Frölunda,Örebro,1,1,793,Lennart Sundqvist,NA,1992-07-08,1992
Malmö FF,Trelleborg,1,1,12132,Lennart Elofson,NA,1992-07-08,1992
IFK Norrköping,IFK Göteborg,4,1,6691,Håkan Lundgren,NA,1992-07-09,1992
Gais,Djurgården,2,1,1661,Sten Johanzon,NA,1992-07-09,1992
AIK,Öster,3,0,3363,Örjan Andersson,NA,1992-07-09,1992
Öster,Gais,9,0,2552,Bengt Börjesson,NA,1992-07-12,1992
Örebro,Malmö FF,2,2,3506,Rune Larsson,NA,1992-07-12,1992
Trelleborg,IFK Norrköping,0,2,4047,Leif Sundell,NA,1992-07-12,1992
IFK Göteborg,AIK,0,1,6600,Karl-Erik Nilsson,NA,1992-07-12,1992
Djurgården,Västra Frölunda,3,2,2406,Bo Karlsson,NA,1992-07-12,1992
Öster,Djurgården,2,0,3925,Lennart Elofson,NA,1992-07-16,1992
Trelleborg,Västra Frölunda,1,0,2508,Bo Helén,NA,1992-07-16,1992
IFK Norrköping,Malmö FF,1,0,6670,Bo Persson,NA,1992-07-16,1992
IFK Göteborg,Örebro,3,1,7730,Christer Drottz,NA,1992-07-16,1992
AIK,Gais,0,0,3629,Håkan Lundgren,NA,1992-07-16,1992
Örebro,Trelleborg,1,1,1948,Anders Frisk,NA,1992-07-19,1992
Västra Frölunda,Öster,2,3,438,Christer Fällström,NA,1992-07-19,1992
Malmö FF,AIK,2,0,2953,Bo Karlsson,NA,1992-07-19,1992
Gais,IFK Norrköping,0,3,1447,Örjan Andersson,NA,1992-07-19,1992
Djurgården,IFK Göteborg,1,0,2956,Leif Sundell,NA,1992-07-19,1992
Öster,Degerfors,5,0,4853,Rune Larsson,NA,1993-04-12,1993
Örebro,Trelleborg,1,0,5209,Bo Persson,NA,1993-04-12,1993
Västra Frölunda,Häcken,1,0,1564,Christer Fällström,NA,1993-04-12,1993
IFK Norrköping,Örgryte,2,0,5345,Leif Sundell,NA,1993-04-12,1993
Malmö FF,Brage,7,0,3395,Karl-Erik Nilsson,NA,1993-04-12,1993
Halmstad,Helsingborg,3,0,12907,Bo Karlsson,NA,1993-04-12,1993
IFK Göteborg,AIK,1,1,9087,Örjan Andersson,NA,1993-04-12,1993
Trelleborg,IFK Göteborg,3,1,3229,Leif Sundell,NA,1993-04-17,1993
Häcken,IFK Norrköping,3,2,2229,Bo Persson,NA,1993-04-18,1993
Helsingborg,Örebro,2,1,8235,Anders Frisk,NA,1993-04-18,1993
Degerfors,Halmstad,1,1,4815,Örjan Andersson,NA,1993-04-18,1993
Brage,Öster,1,3,2008,Sten Johanzon,NA,1993-04-18,1993
Örgryte,Malmö FF,3,1,2254,Rune Larsson,NA,1993-04-19,1993
AIK,Västra Frölunda,1,0,5142,Bo Karlsson,NA,1993-04-19,1993
Öster,Örebro,2,0,3042,Bo Persson,NA,1993-04-24,1993
Örgryte,Helsingborg,0,2,2819,Karl-Erik Nilsson,NA,1993-04-24,1993
IFK Norrköping,Västra Frölunda,5,1,3209,Örjan Andersson,NA,1993-04-24,1993
Malmö FF,IFK Göteborg,0,1,4948,Christer Fällström,NA,1993-04-24,1993
Häcken,Trelleborg,3,3,1034,Lennart Elofson,NA,1993-04-24,1993
Degerfors,AIK,1,2,6746,Bo Karlsson,NA,1993-04-24,1993
Brage,Halmstad,0,0,1545,Anders Frisk,NA,1993-04-24,1993
Örebro,Malmö FF,0,1,4747,Anders Frisk,NA,1993-05-02,1993
Västra Frölunda,Degerfors,1,1,1232,Håkan Lundgren,NA,1993-05-02,1993
Trelleborg,Örgryte,3,1,3324,Christer Fällström,NA,1993-05-02,1993
Helsingborg,Brage,4,1,8238,Rune Larsson,NA,1993-05-02,1993
Halmstad,Öster,1,2,4710,Sten Johanzon,NA,1993-05-02,1993
IFK Göteborg,IFK Norrköping,2,1,5013,Bengt Börjesson,NA,1993-05-03,1993
AIK,Häcken,2,0,5610,Per-Olof Ståhl,NA,1993-05-03,1993
